Posisi,Perusahaan,Bidang,Jenjang,Jurusan,Requirement,Link
FINANCE,PT Telkom Indonesia (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,"Manajemen Keuangan
Akuntansi
Aktuaria","Menganalisa dan mengatur kombinasi pendanaan
menyusun rencana kerja anggaran perusahaan
memahami accounting information system
peraturan pajak
mengelola cost dan profitability analysis, treasury, billing,collection, revenue assurance, dan laporan keuangan.",https://rekrutmenbersama.fhcibumn.id/job/detail/14AF606023EB31711E249CDF5B573896
LEGAL & COMPLIANCE,PT Telkom Indonesia (Persero) Tbk,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Requirement: Pekerjaan yang terkait dengan mengidentifikasi, memahami, mengelola, dan memberikan advice terkait aspek hukum publik, kepatuhan perusahaan terhadap kebijakan dan peraturan yang berlaku, hukum telematika, kekayaan intelektual, hukum bisnis, legal drafting, dan aspek hukum pasar modal",https://rekrutmenbersama.fhcibumn.id/job/detail/433D8A10F147F7DE27D91BD3EC37DDAF
MANAGEMENT TRAINEE,PT Telkom Indonesia (Persero) Tbk - PT Dayamitra Telekomunikasi Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Semua Jurusan,"Requirement: PT Dayamitra Telekomunikasi Tbk atau Mitratel merupakan anak perusahaan PT Telkom Indonesia (Persero) Tbk yang bergerak di bidang penyediaan infrastruktur telekomunikasi. Saat ini Mitratel kembali membuka lowongan sebagai Management Trainee. Melalui program ini, Mitratel memberikan kesempatan kepada talenta-talenta terbaik Indonesia untuk belajar, bertumbuh, dan bekerja keras di salah satu perusahaan terbaik di bidangnya serta berkontribusi di lingkungan terbaik bersama orang-orang terbaik.",https://rekrutmenbersama.fhcibumn.id/job/detail/1CB8976EED98EDDAE3DC18FCF749BC3C
JUNIOR ACCOUNT MANAGER 2,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Sarjana Telekomunikasi,"Managing customer acquisition, intimacy, retention & loyalty, and relationships with key accounts in order to maintain service and increase sales.
Related Job Stream / Role:
Customer Relation",https://rekrutmenbersama.fhcibumn.id/job/detail/E6CD7E566AA1FED5686056542FAFD24D
OFFICER 2 ENTERPRISE STRATEGY & PLANNING,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,Sarjana Telekomunikasi,"Support data and analysis on Enterprise Strategy Plan and Enterprise performance reporting
Related Job Stream/ Role:
Sales Operation & Management",https://rekrutmenbersama.fhcibumn.id/job/detail/2B88362210B3FE1C1FFBD8044F1B2598
OFFICER 2 CDCO STRATEGY & PLANNING,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,Sarjana Telekomunikasi,"Implementing sales management per region to improve customer acquisition, intimacy, retention, and loyalty, also concerning to achieve profit, revenue, & value target for the company managed in accordance with Company’s Strategy.
Related Job Stream/ Role:
Sales Operation & Management
Marketing",https://rekrutmenbersama.fhcibumn.id/job/detail/C847635B7D21C0D2716AF525F8648663
OFFICER 2 ENTERPRISE PRODUCT STRATEGY & READINESS,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,Sarjana Telekomunikasi,"Implementing sales management per region to improve customer acquisition, intimacy, retention, and loyalty, also concerning to achieve profit, revenue, & value target for the company managed in accordance with Company’s Strategy.
Related Job Stream/ Role:
Sales Operation & Management
Marketing",https://rekrutmenbersama.fhcibumn.id/job/detail/7AE169C1A6B91C30ADE44C525D131BF7
Empty Cause Error Network,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,Sarjana Telekomunikasi,"Implementing sales management per region to improve customer acquisition, intimacy, retention, and loyalty, also concerning to achieve profit, revenue, & value target for the company managed in accordance with Company’s Strategy.
Related Job Stream/ Role:
Sales Operation & Management
Marketing",https://rekrutmenbersama.fhcibumn.id/job/detail/F7CC93C1F401C11F649773F7AC176755
OFFICER 2 IT AUDIT,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Informatika
Teknik Industri
Sistem dan Teknologi Informasi
Manajemen Keuangan
Manajemen
Ilmu Komunikasi
Ilmu Hukum
Akuntansi
Aktuaria","Supporting the Internal Audit process within the scope of Information Technology (IT) on an end-to-end basis, includes activities to identify audit strategies, provide advice on best practice methodologies, priorities, time, scope, resources, and preparation of audit reports / documentation according to with auditing activity framework and given standards and policies.
Related Job Stream/ Role:
Audit Management",https://rekrutmenbersama.fhcibumn.id/job/detail/3FE9F6EA821076CE94F0FC9B41E951C4
OFFICER 2 TRANSFORMATION MANAGEMENT OFFICE PLANNING & MONITORING,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,"Teknik Telekomunikasi
Teknik Informatika
Teknik Industri
Teknik Elektro
Statistik
Sistem Teknologi Informasi
Manajemen & Administrasi
Ilmu Komputer","Identifying designs/models for business process needs, analyzing and determining business performance assessments, designing and developing Standard Quality Management Systems including tools and transformation tracking and transformation plan
Related Job Stream/ Role :
Digital Strategy and Business Transformation
Program & Project Management
Business Analysis and Intelligence",https://rekrutmenbersama.fhcibumn.id/job/detail/9C608160098C03E136C4C7847D3A1490
OFFICER 2 SUBSEA PROJECT ORCHESTRATION 2,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Telekomunikasi
Teknik Informatika
Teknik Industri
Teknik Elektro
Statistik
Sistem Teknologi Informasi
Manajemen & Administrasi
Ilmu Komputer","Facilitating accurate data in purpose project plan and evaluation, as team member in partner process, simulate project implementation include risks, and prepare accurate data to create proposal of project optimization and implementation
Related Job Stream/ Role :
Program & Project Management
Supply Chain Management",https://rekrutmenbersama.fhcibumn.id/job/detail/E9D6C0BA88972B817EED8CE86DE7A46B
OFFICER 2 PRODUCT INNOVATION & DEVELOPMENT III,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Pengembangan Usaha / R and D,Sarjana S1 / Diploma IV,Semua Jurusan,"Providing exploration of new Product / Service development and also leveraging Telkom Group Product / Service
Related Job Stream/ Role :
Digital Service
Development & Design
Product Management",https://rekrutmenbersama.fhcibumn.id/job/detail/3F651CEA223AA2E354A56496F988C797
Dokter,PT Kereta Api Indonesia (Persero),Sistem Management and Safety,Sarjana S1 / Diploma IV,Kedokteran,"Jenis Kelamin : Pria & Wanita
Usia minimal 21 Tahun, maksimal 30 Tahun
Tinggi Badan Minimal :
Pria : 160 cm dengan berat badan ideal
Wanita : 155 cm dengan berat badan ideal
IPK Minimal 3,0
Akreditasi Program Studi/Jurusan A pada saat tanggal kelulusan
Memiliki Sertifikat Tanda Registrasi yang masih Berlaku
Memiliki Sertifikat Bahasa Inggris yang Masih Berlaku dari Lembaga Pendidikan Bahasa Terakreditasi dengan Skor Minimal :
TOEFL ITP : 500
TOEFL PBT/iBT : 61
TOEIC : 500 
IELTS : 5,5",https://rekrutmenbersama.fhcibumn.id/job/detail/0641293AEC6269049A1F74DFAA578FB7
Public Relation Staff,PT Kereta Api Indonesia (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Public Relations
Ilmu Komunikasi
Humas","Jenis Kelamin : Pria
Usia minimal 21 Tahun, maksimal 30 Tahun
Tinggi Badan Minimal 160 cm dengan berat badan ideal
IPK Minimal 3,0
Akreditasi Program Studi/Jurusan A pada saat tanggal kelulusan
Memiliki Sertifikat Sesuai Bidang Keahlian (Jika Memiliki)
Memiliki Sertifikat Bahasa Inggris yang Masih Berlaku dari Lembaga Pendidikan Bahasa Terakreditasi dengan Skor Minimal :",https://rekrutmenbersama.fhcibumn.id/job/detail/B7690587157464399AB8B02623B78C81
IT Staff,PT Kereta Api Indonesia (Persero),Developer Information Technology,Sarjana S1 / Diploma IV,"Teknik Komputer
Teknik Informatika
Sistem Teknologi Informasi","Jenis Kelamin : Pria
Usia minimal 21 Tahun, maksimal 30 Tahun
Tinggi Badan Minimal 160 cm dengan berat badan ideal
IPK Minimal 3,0
Akreditasi Program Studi/Jurusan A pada saat tanggal kelulusan
Memiliki Sertifikat Sesuai Bidang Keahlian (Jika Memiliki)
Memiliki Sertifikat Bahasa Inggris yang Masih Berlaku dari Lembaga Pendidikan Bahasa Terakreditasi dengan Skor Minimal :
TOEFL ITP : 500
TOEFL PBT/iBT : 61
TOEIC : 500
IELTS : 5,5",https://rekrutmenbersama.fhcibumn.id/job/detail/8FBF351BF26DAE24488BEF9BEF5912F9
Finance Staff,PT Kereta Api Indonesia (Persero),Keuangan,Diploma III,"Perpajakan/Pajak
Akuntansi","Jenis Kelamin : Pria & Wanita
Usia minimal 20 Tahun, maksimal 27 Tahun
Tinggi Badan Minimal :
Pria : 160 cm dengan berat badan ideal
Wanita : 155 cm dengan berat badan ideal
IPK Minimal 3,0
Akreditasi Program Studi/Jurusan B pada saat tanggal kelulusan
Memiliki Sertifikat Sesuai Bidang Keahlian (Jika Memiliki)
Memiliki Sertifikat Bahasa Inggris yang Masih Berlaku dari Lembaga Pendidikan Bahasa Terakreditasi dengan Skor Minimal :
TOEFL ITP : 400
TOEFL PBT/iBT : 32
TOEIC : 345
IELTS : 4,5",https://rekrutmenbersama.fhcibumn.id/job/detail/8F65B2EEDCDBA7363DB77D649A967C65
Finance Staff,PT Kereta Api Indonesia (Persero),Keuangan,Sarjana S1 / Diploma IV,"Perpajakan/Pajak
Akuntansi","Jenis Kelamin : Pria & Wanita
Usia minimal 21 Tahun, maksimal 30 Tahun
Tinggi Badan Minimal :
Pria : 160 cm dengan berat badan ideal
Wanita : 155 cm dengan berat badan ideal
IPK Minimal 3,0
Akreditasi Program Studi/Jurusan A pada saat tanggal kelulusan
Memiliki Sertifikat Sesuai Bidang Keahlian (Jika Memiliki)
Memiliki Sertifikat Bahasa Inggris yang Masih Berlaku dari Lembaga Pendidikan Bahasa Terakreditasi dengan Skor Minimal :
TOEFL ITP : 500
TOEFL PBT/iBT : 61
TOEIC : 500
IELTS : 5,5",https://rekrutmenbersama.fhcibumn.id/job/detail/2765FEBE2855C78B836E0248A16F2796
Legal Staff,PT Kereta Api Indonesia (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Jenis Kelamin : Pria
Usia minimal 21 Tahun, maksimal 30 Tahun
Tinggi Badan Minimal 160 cm dengan berat badan ideal
IPK Minimal 3,0
Akreditasi Program Studi/Jurusan A pada saat tanggal kelulusan
Memiliki Sertifikat Sesuai Bidang Keahlian (Jika Memiliki)
Memiliki Sertifikat Bahasa Inggris yang Masih Berlaku dari Lembaga Pendidikan Bahasa Terakreditasi dengan Skor Minimal :
TOEFL ITP : 500
TOEFL PBT/iBT : 61
TOEIC : 500
IELTS : 5,5",https://rekrutmenbersama.fhcibumn.id/job/detail/AF187E06E9CF90997D64381CCB00BB58
Building Staff,PT Kereta Api Indonesia (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,"Teknik Sipil
Arsitektur","Jenis Kelamin : Pria
Usia minimal 21 Tahun, maksimal 30 Tahun
Tinggi Badan Minimal 160 cm dengan berat badan ideal
IPK Minimal 3,0
Akreditasi Program Studi/Jurusan A pada saat tanggal kelulusan
Memiliki Sertifikat Sesuai Bidang Keahlian (Jika Memiliki)
Memiliki Sertifikat Bahasa Inggris yang Masih Berlaku dari Lembaga Pendidikan Bahasa Terakreditasi dengan Skor Minimal :
TOEFL ITP : 500
TOEFL PBT/iBT : 61
TOEIC : 500
IELTS : 5,5",https://rekrutmenbersama.fhcibumn.id/job/detail/725A362794B53AAFC5ED1F39A5CCBD7E
Strategic Planning Staff,PT Kereta Api Indonesia (Persero),Strategic Planning,Sarjana S1 / Diploma IV,"Manajemen
Administrasi Bisnis","Pria : 160 cm dengan berat badan ideal
Wanita : 155 cm dengan berat badan ideal",https://rekrutmenbersama.fhcibumn.id/job/detail/08524D89F979015D1AEA34057A965673
1. Akuntansi,PT Primissima (Persero),Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Mempunyai ijazah S1
Menguasai Akuntansi (Neraca Laba Rugi, perhitungan HPP)
Menguasai Perpajakan
Menguasai komputer",https://rekrutmenbersama.fhcibumn.id/job/detail/4EB5E3CAE908480FA456F339F340767F
2. Produksi,PT Primissima (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Tekstil
Teknik Industri","Mempunyai ijazah S1
Mengetahui proses produksi tekstil
Mampu menghitung dan merencanakan produksi
Menguasai komputer",https://rekrutmenbersama.fhcibumn.id/job/detail/489F1B014F20C77073B9469506080E38
3. Pemasaran & Pengadaan Barang,PT Primissima (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Manajemen,"Mempunyai ijazah S1
Mampu menganalisa pasar
Bisa bahasa Inggris
Bisa berkomunikasi dengan pihak lain
Menguasai komputer",https://rekrutmenbersama.fhcibumn.id/job/detail/EB089A5ABA5457CDB75D915FAF6031BA
4. HRD,PT Primissima (Persero),SDM / HC,Sarjana S1 / Diploma IV,Ilmu Hukum,"Mempunyai ijazah S1
Menguasai peraturan, undang-undang Ketenagakerjaan
Mengerti BPJS Kesehatan dan Ketenagakerjaan
Menguasai komputer",https://rekrutmenbersama.fhcibumn.id/job/detail/9581A1747F3F1A958D9DB3265008E43F
5. Internal Audit,PT Primissima (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,Akuntansi,"Mempunyai ijazah S1
Mampu membuat analisa
Menguasai komputer
Mengetahui tentang teknik audit",https://rekrutmenbersama.fhcibumn.id/job/detail/2463EED69E2D23E3952D46A4460102AE
Staf Teknik Sipil,Perum Jasa Tirta I,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Sipil,"Usia Max 30 tahun
IPK min 3.0 dari Skala 4
Mampu melakukan proses perencanaan bangunan gedung dan bangunan pengairan
Menguasai aplikasi Teknik Sipil (AutoCAD dll)",https://rekrutmenbersama.fhcibumn.id/job/detail/6CE11A6D2F208A122B45402DB6EF0F53
Staf Akuntansi,Perum Jasa Tirta I,Treasury,Sarjana S1 / Diploma IV,Akuntansi,"Usia Max. 30 Tahun
IPK min 3.0 dari skala 4
Memiliki Brevet A & B",https://rekrutmenbersama.fhcibumn.id/job/detail/B66A42DC156EDE24860EB958070B6C2E
General Banking Staff,PT Bank Mandiri (Persero) Tbk,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Sastra Inggris
Sastra Indonesia
Kedokteran
Ilmu Pendidikan
Ilmu Kesehatan","Memiliki latar belakang pendidikan S1 dengan minimum IPK 3,00.
Berpenampilan menarik dan memiliki skill komunikasi yang baik.
Fresh graduate / baru bekerja maksimal 2 tahun.
Usia maksimal 24 tahun untuk fresh graduate dan maksimal 26 tahun untuk yang sudah memiliki pengalaman kerja.
Tidak memiliki keluarga inti yang masih bekerja di Bank Mandiri.
Memiliki minat untuk berkarir di dunia perbankan dan menyukai bidang service dan sales.
Belum menikah.",https://rekrutmenbersama.fhcibumn.id/job/detail/D7E3F4F7242F076598D9E91AF13DB895
Back Office Staff (Non IT),PT Bank Mandiri (Persero) Tbk,Capital Market Investment Banking,Sarjana S1 / Diploma IV,"Sastra Inggris
Sastra Indonesia
Kedokteran
Ilmu Pendidikan
Ilmu Kesehatan","Memiliki latar belakang pendidikan S1 dengan minimum IPK 3,00.
Fresh graduate / baru bekerja maksimal 2 tahun.
Usia maksimal 24 tahun untuk fresh graduate dan maksimal 26 tahun untuk yang sudah memiliki pengalaman kerja.
Tidak memiliki keluarga inti yang masih bekerja di Bank Mandiri.
Memiliki minat untuk berkarir di dunia perbankan.
Belum menikah.",https://rekrutmenbersama.fhcibumn.id/job/detail/7F1B615F8688875D3AE66CD5D549E475
Back Office Staff (IT),PT Bank Mandiri (Persero) Tbk,Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Informatika
Sistem dan Teknologi Informasi
Ilmu Komputer","Memiliki latar belakang pendidikan S1 jurusan ilmu komputer/ teknologi informasi/ teknik komputer/ jurusan lain yang berkaitan dengan IT dengan minimum IPK 3,00.
Menguasai basic programming.
Fresh graduate/ baru bekerja maksimal 2 tahun.
Usia maksimal 24 tahun untuk fresh graduate dan maksimal 26 tahun untuk yang sudah memiliki pengalaman kerja.
Tidak memiliki keluarga inti yang masih bekerja di Bank Mandiri.
Belum menikah.",https://rekrutmenbersama.fhcibumn.id/job/detail/A96BBEC970BB440BC6B441B96C4F758B
Staf TJSL,PT RNI (Persero) - ID FOOD,Strategic Planning,Sarjana S1 / Diploma IV,PDSK,"Mampu menyusun template social mapping
Mampu menyusun template kajian tjsl
Mampu menyusun SOP TJSL
Kratif dalam menyusun konsep program",https://rekrutmenbersama.fhcibumn.id/job/detail/24A27D30E6C1D6B0E0373C74EB9480DA
Sekretaris,PT RNI (Persero) - ID FOOD,Legal and Compliance,Diploma III,Sekretaris,"Memiliki attitude dan kepribadian baik (sabar, tekun, teliti, disimplin)
Mampu melakukan pengelolaan kearsipan
Mampu menyusum time schedule
Mampu dalam menyusun schedule & manajemen waktu
Mampu dalam pengelolaan microsoft office",https://rekrutmenbersama.fhcibumn.id/job/detail/CCABBE2AFCFB2B3F2CEF44D530C433D5
Kerjasama Strategis,PT ASDP Indonesia Ferry (Persero),Strategic Planning,Sarjana S1 / Diploma IV,"Manajemen Pemasaran
Manajemen bisnis
Bisnis","Melaksanakan dan memastikan implementasi hubungan strategis atau kerja sama usaha telah sesuai dengan kajian pengembangan bisnis agar target perusahaan dapat tercapai dengan optimal
Melaksanakan hasil implementasi hubungan strategis atau kerja sama usaha secara berkala untuk melihat kesesuaian dengan kajian yang telah disusun oleh pengembangan bisnis
Melaksanakan proses serah terima hasil implementasi pengembangan bisnis dengan pihak yang terkait",https://rekrutmenbersama.fhcibumn.id/job/detail/B2CD7FCB53904F0EC958C38E437E32BA
Transaction Processing Staff,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,Semua Jurusan,"Requirement:

1. S1 Min. IPK 2.75
2. Usia maksimal 24 thn
3. Belum Menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/33CF58BED7B591FF68C4D83EE68C18CA
Branch Funding Support,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,Semua Jurusan,"Requirement:

1. S1 Min. IPK 2.75
2. Usia maksimal 24 thn
3. Belum Menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/C4CCA87506885BDCC1397A9F95A943CA
Loan Service,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,Semua Jurusan,"Requirement:

1. S1 Min. IPK 2.75
2. Usia maksimal 24 thn
3. Belum Menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/ECF0DB87681793A238D3A6B1E55641E0
Collective Staff,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,Semua Jurusan,"Requirement:

1. S1 Min. IPK 2.75
2. Usia maksimal 24 thn
3. Belum Menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/6F33806BDC88799839894794DA3B3258
